Gender,Age,City,Education,Occupation,Monthly_Income,IM_Usage_period,Experience,Bank,Source,Bank_Account_Type,Usage_Time,Distance,Service,TimeSaving,Easyness,UI_Design,Network_Connectivity,Cost_effective,Availabilty,Security,Comfortable,Awareness,Usage,Aware_Charges,Charges,Satifaction,Recommendation
Male,18 - 25,Jaffna,Degree,Private Employee,"150,001-200,000",More than two years,Experienced,Bank of Ceylon;Commercial Bank,Internet,Saving Account,Monthly-once,Less than 1 km,To pay utility bills,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,little high,3,Yes
Male,41 - 50,Vavuniya,Degree,Govt Employee,"150,001-200,000",More than two years,Intermediate,Peoples’ bank,Bank,Saving Account,Monthly-several times,1 to 2 km,All the above,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Yes,little high,4,Yes
Male,26 - 30,Jaffna,Degree,Private Employee,"100,001-150,000",More than two years,Experienced,Commercial Bank,Bank,Both,Daily-once,More than 10 km,All the above,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,little high,5,Yes
Female,18 - 25,Batticaloa,Degree,Student,,More than two years,Intermediate,Bank of Ceylon,Bank,Saving Account,Monthly-several times,1 to 2 km,To get an account balance update,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,No,Not acceptable,5,Yes
Male,18 - 25,Jaffna,Degree,Private Employee,"100,001-150,000",More than two years,Experienced,Sampath bank;Hatton National Bank,Bank,Saving Account,Monthly-several times,Less than 1 km,All the above,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,No,Not acceptable,5,Yes
Female,26 - 30,Batticaloa,Degree,,,More than two years,Intermediate,,,Saving Account,Monthly-several times,1 to 2 km,All the above,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,No,,,No
Female,26 - 30,Batticaloa,Degree,,,More than two years,Intermediate,,,Saving Account,Monthly-several times,1 to 2 km,All the above,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,No,,,No
Male,18 - 25,Colombo,Degree,Private Employee,"50,000- 100,000",More than two years,Experienced,Commercial Bank,Internet,Saving Account,Monthly-once,Less than 1 km,To get an account balance update,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,,4,No
Male,26 - 30,Jaffna,Degree,Private Employee,"Above 200000",More than two years,Experienced,Commercial Bank,Bank,Saving Account,Weekly-several times,1 to 2 km,All the above,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Yes,Not acceptable,4,Yes
Male,26 - 30,Jaffna,Degree,Private Employee,"50,000- 100,000",More than two years,Experienced,NTB,Friend,Saving Account,Weekly-Once,More than 10 km,All the above,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Yes,little high,4,Yes
Female,26 - 30,Colombo,Degree,Private Employee,"150,001-200,000",More than two years,Intermediate,Commercial Bank,Internet,Saving Account,Weekly-several times,Less than 1 km,All the above,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Yes,Not care,4,Yes
Male,26 - 30,Batticaloa,Degree,Govt Employee,"50,000- 100,000",More than two years,Intermediate,Bank of Ceylon;Peoples’ bank;Sampath bank;Cargills Bank,Bank,Saving Account,Weekly-Once,Less than 1 km,All the above,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Yes,Okay,4,Yes
Male,26 - 30,Batticaloa,O/L,Private Employee,"Upto 50000",More than two years,Intermediate,Sampath bank;Commercial Bank,Bank,Saving Account,Monthly-several times,More than 10 km,All the above,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Yes,Okay,5,Yes
Female,26 - 30,Batticaloa,Degree,Student,"Upto 50000",More than two years,Experienced,Commercial Bank,Friend,Saving Account,Occasionally (less than once a month),2 to 5 km,To get an account balance update,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Neutral,Neutral,No,,3,No
Male,26 - 30,Jaffna,Degree,Private Employee,"150,001-200,000",More than two years,Experienced,,Internet,Both,Weekly-Once,2 to 5 km,All the above,Strongly Agree,Strongly Agree,Neutral,Neutral,Disagree,Agree,Agree,Strongly Agree,Neutral,Disagree,No,,4,Yes
Male,26 - 30,Colombo,Degree,Private Employee,"Above 200000",More than two years,Experienced,Commercial Bank;NTB,Internet,Saving Account,Weekly-several times,1 to 2 km,All the above,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Yes,little high,4,Yes
Female,26 - 30,Jaffna,Degree,Private Employee,"100,001-150,000",More than two years,Experienced,Bank of Ceylon,Internet,Saving Account,Weekly-several times,1 to 2 km,All the above,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,little high,4,Yes
Female,41 - 50,Batticaloa,Degree,Govt Employee,"Above 200000",More than two years,Intermediate,Commercial Bank,Bank,Saving Account,Occasionally (less than once a month),More than 10 km,To get an account balance update,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,No,,4,Yes
Male,26 - 30,Jaffna,Degree,Private Employee,"Above 200000",Up to 1 year,Intermediate,Commercial Bank,Internet,Saving Account,Weekly-several times,1 to 2 km,All the above,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Not care,4,Yes
Male,26 - 30,Colombo,Degree,Private Employee,"Above 200000",More than two years,Experienced,Hatton National Bank;NTB,Bank,Saving Account,Monthly-several times,2 to 5 km,To transfer money,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,little high,4,Yes
Female,26 - 30,Colombo,Degree,Private Employee,"50,000- 100,000",More than two years,Experienced,Sampath bank,Friend,Saving Account,Occasionally (less than once a month),5 to 10 km,To buy goods or services,Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Disagree,No,,3,Yes
Male,26 - 30,Trincomalee,Degree,Private Employee,"100,001-150,000",Up to 1 year,Intermediate,Bank of Ceylon,Friend,Saving Account,Weekly-several times,1 to 2 km,To transfer money,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Yes,Okay,4,Yes
Male,26 - 30,Batticaloa,Degree,Student,"Upto 50000",More than two years,Experienced,Bank of Ceylon;NTB,Internet,Saving Account,Weekly-several times,1 to 2 km,All the above,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Yes,Not acceptable,4,Yes
Male,26 - 30,Batticaloa,Degree,Private Employee,"Upto 50000",More than two years,Intermediate,Bank of Ceylon;Peoples’ bank,Internet,Saving Account,Occasionally (less than once a month),2 to 5 km,To get an account balance update,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,No,,4,Yes
Male,26 - 30,Batticaloa,Degree,Private Employee,"50,000- 100,000",More than two years,Experienced,Commercial Bank,Internet,Saving Account,Monthly-once,Less than 1 km,To get an account balance update,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Not care,4,Yes
Male,31 - 40,Jaffna,Degree,Govt Employee,"Upto 50000",More than two years,Experienced,Bank of Ceylon;Peoples’ bank,Internet,Saving Account,Daily –Several times,1 to 2 km,All the above,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Yes,Okay,4,Yes
Male,26 - 30,Jaffna,A/L,Business,"Upto 50000",More than two years,Experienced,Bank of Ceylon,Bank,Both,Weekly-several times,Less than 1 km,All the above,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Yes,Okay,2,Yes
Male,26 - 30,Batticaloa,Degree,Govt Employee,"Upto 50000",More than two years,Experienced,Bank of Ceylon;Peoples’ bank;Sampath bank;Hatton National Bank;Commercial Bank;NTB,Internet,Saving Account,Monthly-several times,1 to 2 km,All the above,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Okay,5,Yes
Male,26 - 30,Batticaloa,Degree,Student,"Upto 50000",More than two years,Experienced,Bank of Ceylon,Friend,Saving Account,Weekly-Once,2 to 5 km,All the above,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,No,,4,Yes
Male,18 - 25,Jaffna,Degree,Student,"Upto 50000",More than two years,Experienced,Bank of Ceylon;Hatton National Bank,Bank,Saving Account,Weekly-Once,1 to 2 km,To pay utility bills,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Disagree,Yes,little high,3,Yes
Male,18 - 25,Batticaloa,Degree,Student,"Upto 50000",More than two years,Intermediate,,Internet,Saving Account,Monthly-several times,1 to 2 km,All the above,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Okay,5,Yes
Male,18 - 25,Colombo,Degree,Private Employee,"50,000- 100,000",More than two years,Experienced,Bank of Ceylon;National Savings Bank;Hatton National Bank;NTB,Internet,Saving Account,Weekly-several times,2 to 5 km,All the above,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Okay,4,Yes
Male,18 - 25,Jaffna,Degree,Student,,More than two years,Experienced,Bank of Ceylon;Commercial Bank,Own try,Both,Weekly-several times,1 to 2 km,All the above,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Yes,Okay,5,No
Male,18 - 25,Jaffna,Degree,Student,"Upto 50000",More than two years,Experienced,Bank of Ceylon;Commercial Bank,Friend,Saving Account,Weekly-Once,1 to 2 km,To transfer money,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Yes,Okay,4,Yes
Male,26 - 30,Colombo,Degree,Private Employee,"Above 200000",More than two years,Experienced,Bank of Ceylon,Friend,Saving Account,Weekly-several times,Less than 1 km,To transfer money,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Not care,4,Yes
Male,18 - 25,Batticaloa,A/L,Student,,More than two years,Experienced,Bank of Ceylon,Internet,Saving Account,Monthly-once,2 to 5 km,All the above,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Yes,Okay,4,Yes
Male,26 - 30,Colombo,Degree,Private Employee,"100,001-150,000",More than two years,Experienced,Commercial Bank,Internet,Saving Account,Monthly-once,More than 10 km,All the above,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Yes,Okay,5,Yes
Male,18 - 25,Batticaloa,A/L,Student,"Upto 50000",More than two years,Experienced,Bank of Ceylon,Internet,Saving Account,Monthly-once,2 to 5 km,All the above,Strongly Agree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Yes,little high,4,Yes
Male,18 - 25,Jaffna,Degree,Student,"Upto 50000",More than two years,Intermediate,Bank of Ceylon,Bank,Saving Account,Occasionally (less than once a month),1 to 2 km,All the above,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,No,,4,Yes
Male,18 - 25,Jaffna,Degree,Student,"Upto 50000",Up to 1 year,Intermediate,Bank of Ceylon,Friend,Saving Account,Occasionally (less than once a month),1 to 2 km,All the above,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Yes,little high,4,Yes
Male,26 - 30,Vavuniya,Diploma,Private Employee,"50,000- 100,000",More than two years,Intermediate,Hatton National Bank,Friend,Saving Account,Monthly-once,2 to 5 km,To transfer money,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Yes,little high,4,No
Male,26 - 30,Batticaloa,A/L,Student,"Upto 50000",More than two years,Intermediate,Bank of Ceylon,Friend,Saving Account,Occasionally (less than once a month),More than 10 km,All the above,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,No,little high,4,No
Male,26 - 30,Jaffna,Degree,Private Employee,"50,000- 100,000",More than two years,Experienced,Commercial Bank,Internet,Saving Account,Monthly-once,1 to 2 km,All the above,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Yes,Okay,5,Yes
Female,26 - 30,Batticaloa,Degree,Student,"Upto 50000",More than two years,Intermediate,Bank of Ceylon,Friend,Saving Account,Monthly-once,2 to 5 km,To transfer money,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Yes,little high,3,Yes
Male,26 - 30,Jaffna,A/L,Business,"Upto 50000",More than two years,Experienced,Bank of Ceylon,Bank,Both,Weekly-several times,Less than 1 km,All the above,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Yes,Okay,2,Yes
Male,26 - 30,Batticaloa,Degree,Govt Employee,"50,000- 100,000",More than two years,Intermediate,Bank of Ceylon;Peoples’ bank;Sampath bank;Cargills Bank,Bank,Saving Account,Weekly-Once,Less than 1 km,All the above,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Yes,Okay,4,Yes
Male,26 - 30,Batticaloa,Degree,Govt Employee,"50,000- 100,000",More than two years,Intermediate,Bank of Ceylon;Peoples’ bank;Sampath bank;Cargills Bank,Bank,Saving Account,Weekly-Once,Less than 1 km,All the above,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Yes,Okay,4,Yes